,track_name,album,artist_name,release_date,duration_ms,popularity,danceability,acousticness,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence
144,Easy Lover - Four Tet Remix,Easy Lover (Four Tet Remix),Ellie Goulding,2022-08-19,251581,41,0.703,0.206,0.789,0.000306,0.0774,-8.404,0.0775,125.988,0.438
145,Mango Feedback,Mango Feedback,Four Tet,2022-08-10,291721,43,0.638,0.0118,0.919,0.802,0.123,-7.974,0.0485,130.048,0.699
146,Round,Round,Hagop Tchaparian,2022-08-09,240027,13,0.56,0.0197,0.456,0.916,0.0887,-11.719,0.043,128.012,0.189
147,This Time - Four Tet Remix,This Time (Four Tet Remix),Nina Kraviz,2022-08-05,260982,30,0.747,0.0199,0.779,0.145,0.0784,-9.432,0.0522,132.437,0.126
148,AZD SURF,AZD SURF,Actress,2022-08-03,251796,26,0.584,0.868,0.798,0.926,0.128,-14.769,0.0395,133.962,0.837
149,Simple Headphone Mind,Simple Headphone Mind / Trippin' With The Birds,Stereolab,2022-08-03,646683,0,0.569,0.0671,0.467,0.756,0.0578,-13.352,0.0305,158.013,0.331
150,The French Lesson - Remastered 2006,Seven,Soft Machine,1973,63506,13,0.0734,0.981,0.00775,0.978,0.102,-28.86,0.0469,175.468,0.0382
151,Blackpool Late Eighties,The Inheritors,James Holden,2013-06-24,518653,0,0.671,0.402,0.418,0.921,0.117,-10.144,0.0479,112.99,0.43
152,Lágrimas Do Sul (Para Winnie Mandela),Encontros E Despedidas,Milton Nascimento,1985-01-08,221466,20,0.682,0.818,0.369,6.18e-05,0.1,-14.39,0.0315,136.628,0.793
153,Advice to Medics,Supersonic Jazz,Sun Ra,2014-04-03,123986,14,0.52,0.993,0.0852,0.881,0.136,-18.885,0.0481,62.185,0.317
154,get 2 kno,1995 epilepsy,1995 epilepsy,2020-05-08,166391,19,0.482,0.775,0.235,0.000205,0.095,-15.025,0.0716,87.086,0.267
155,Oh My God,Oh My God,Lil Keed,2019-04-25,186213,35,0.895,0.0227,0.418,0.0,0.0821,-7.529,0.418,144.994,0.594
156,Burnin' up (Mike Watt Original Demo),The Whitey Album,Sonic Youth,1988-04-05,231893,20,0.664,0.107,0.832,0.00848,0.0707,-14.213,0.0373,142.47,0.903
157,All I Do Is Work,All I Do Is Work,Kurtis Perrie,2022-04-01,195668,17,0.743,0.152,0.74,0.0852,0.311,-9.853,0.137,95.903,0.511
158,Money B,The Flying Lizards,The Flying Lizards,1979,249666,9,0.815,0.0277,0.961,0.732,0.0392,-11.597,0.274,130.828,0.216
159,Later to the Bone,Amapicante EP,Toma Kami,2022-04-29,310374,11,0.823,0.0385,0.757,0.946,0.0943,-7.378,0.0844,100.021,0.239
160,Steamin,Steamin,Chloé Robinson,2022-07-27,228750,28,0.797,0.000281,0.727,0.709,0.0994,-6.381,0.102,133.993,0.267
161,Optimistic,Optimistic,Tomu DJ,2022-07-22,295357,8,0.687,0.0278,0.73,0.887,0.108,-11.292,0.0387,139.99,0.289
162,Glue Of The Otherworld,Paws,Four Tet,2002-01-28,454800,9,0.602,0.177,0.428,0.197,0.209,-8.468,0.144,131.779,0.602
163,Sueños,Sueños,Waleed,2022-07-20,298285,8,0.708,0.259,0.622,0.902,0.111,-12.961,0.0569,139.998,0.108
164,Ba Do Bleep,Despicable Me 2 (Original Motion Picture Soundtrack),Various Artists,2013-06-18,13886,8,0.0,0.969,0.00352,0.0,0.168,-28.187,0.0,0.0,0.0
